staff_member,appt_date,appt_time,slot,units_sched_10min_per_unit,client_id,patient_id,staff_requested,reason_desc,breedname
6,6/1/2022,7:30:00,45,1,3167,28035,,Surgery,Domestic Shorthair
6,6/1/2022,7:30:00,45,1,855,1358,,0,Boxer Mix
16,6/1/2022,8:30:00,51,2,9039,23501,,Preventative Care Exam,Goldendoodle
19,6/1/2022,8:30:00,51,2,10303,17176,,Preventative Care Exam,Retriever Mixed
6,6/1/2022,8:30:00,51,2,13046,18138,,Preventative Care Exam,Domestic Shorthair
16,6/1/2022,8:50:00,53,2,9001,14662,,Recheck,GOLDEN RETRIEVER
19,6/1/2022,8:50:00,53,2,11411,19317,,Recheck,LABRADOR RETRIEVER
6,6/1/2022,8:50:00,53,2,13046,22989,,Preventative Care Exam,Ragdoll
TK,6/1/2022,9:00:00,54,1,16419,25404,,TNT,"Shorthair, American"
16,6/1/2022,9:10:00,55,2,2569,3825,,Senior Exam,BORDER COLLIE
19,6/1/2022,9:10:00,55,2,14529,28598,19,New Pet,Domestic Shorthair
6,6/1/2022,9:10:00,55,2,18332,23412,,Sick,"Pitbull, American"
16,6/1/2022,9:30:00,57,1,L2518,13706,,Euthanasia,Bichon Frise Mix
19,6/1/2022,9:30:00,57,2,3535,23683,,Preventative Care Exam,"Husky, Siberian"
6,6/1/2022,9:30:00,57,2,5833,1987,,Exam,"Griffon Vendeen, Petit Basset"
TK,6/1/2022,9:30:00,57,1,12263,20686,,Technician Appointment,Pointer Mix
16,6/1/2022,9:40:00,58,2,220,28617,,Sick,Domestic Shorthair
TK,6/1/2022,9:40:00,58,1,21708,9346,,Technician Appointment,Newfoundland
19,6/1/2022,9:50:00,59,2,15405,18786,,Preventative Care Exam,Domestic Shorthair
6,6/1/2022,9:50:00,59,2,9878,16332,,Ultrasound,Retriever Mixed
16,6/1/2022,10:00:00,60,2,19480,19480-1,,Recheck,Domestic Mediumhair
TK,6/1/2022,10:00:00,60,1,6308,1573,,TNT,Beagle
19,6/1/2022,10:10:00,61,2,16173,16173-3,,Sick,Domestic Shorthair
6,6/1/2022,10:10:00,61,2,17609,24999,,Emergency,"Poodle, Miniature"
TK,6/1/2022,10:10:00,61,1,7454,11770,,TNT,Great Dane Mix
16,6/1/2022,10:20:00,62,2,22656,28432,,New Client,Ragdoll Mix
TK,6/1/2022,10:20:00,62,1,7454,12273,,TNT,IRISH WOLFHOUND
6,6/1/2022,10:30:00,63,2,6547,25662,,Sick,Chihuahua
16,6/1/2022,10:40:00,64,2,3576,5656,,Sick,"Terrier, Yorkshire Mix"
19,6/1/2022,10:50:00,65,2,10387,17371,,Sick,"Goldendoodle, mini"
6,6/1/2022,10:50:00,65,2,11910,23312,,Preventative Care Exam,Munchkin
16,6/1/2022,11:00:00,66,2,20382,25922,,Sick,"Retriever, Golden"
19,6/1/2022,11:10:00,67,2,2692,4270,,Preventative Care Exam,Domestic Shorthair
6,6/1/2022,11:10:00,67,2,11910,21289,,Preventative Care Exam,Domestic Shorthair
6,6/1/2022,13:50:00,83,2,9878,16332,,Ultrasound,Retriever Mixed
11,6/1/2022,14:00:00,84,2,13747,28304,,Preventative Care Exam,Mixed
6,6/1/2022,14:10:00,85,2,855,1358,,0,Boxer Mix
11,6/1/2022,14:20:00,86,2,22163,27240,,Sick,Domestic Shorthair
16,6/1/2022,14:20:00,86,2,5089,12753,,Recheck,JACK RUSSELL TERRIER
11,6/1/2022,14:40:00,88,2,L5434,10725,11,Preventative Care Exam,"Retriever, Golden"
16,6/1/2022,14:50:00,89,2,6599,10108,,Sick,Labradoodle
L4,6/1/2022,14:50:00,89,2,5933,9085,,Sick,GOLDEN RETRIEVER
11,6/1/2022,15:00:00,90,2,22633,28365,,Recheck,Catahoula Leopard Dog
TK,6/1/2022,15:00:00,90,1,6069,9253,,Technician Appointment,"Terrier, Yorkshire Mix"
16,6/1/2022,15:10:00,91,2,10257,17074,,Sick,Goldendoodle
L4,6/1/2022,15:10:00,91,2,1898,18509,4,Preventative Care Exam,"Retriever, Golden Mix"
11,6/1/2022,15:20:00,92,2,12329,21105,11,Preventative Care Exam,Pitbull
16,6/1/2022,15:30:00,93,2,7164,11202,,Sick,"Retriever, Golden"
L4,6/1/2022,15:30:00,93,2,2614,28461,,New Pet,"Poodle, Toy"
11,6/1/2022,15:40:00,94,2,12329,22809,11,Preventative Care Exam,Pitbull
TK,6/1/2022,15:40:00,94,1,8285,13296,,TNT,Domestic Shorthair
16,6/1/2022,15:50:00,95,2,3033,4788,,Sick,"Retriever, Golden"
L4,6/1/2022,15:50:00,95,3,2614,28462,,New Pet,Goldendoodle
11,6/1/2022,16:00:00,96,2,21185,15732,11,Recheck,Domestic Shorthair
TK,6/1/2022,16:00:00,96,1,5052,7861,,Technician Appointment,Domestic Shorthair
16,6/1/2022,16:10:00,97,2,8895,14439,,Sick,Cavapoo
11,6/1/2022,16:20:00,98,2,21993,26741,,Sick,Retriever Mixed
L4,6/1/2022,16:20:00,98,2,11132,18834,4,Preventative Care Exam,Collie
L4,6/1/2022,16:40:00,100,2,4500,14600,,Sick,Husky Mix
TK,6/1/2022,16:40:00,100,1,1780,18506,,TNT,Mixed
16,6/1/2022,16:50:00,101,2,6906,10705,,Recheck,Dachshund
L4,6/1/2022,17:00:00,102,2,18335,18335-1,,Sick,Domestic Shorthair
16,6/1/2022,17:10:00,103,2,6906,10709,,Recheck,"Terrier, Jack Russell Mix"
TK,6/1/2022,17:10:00,103,1,5587,10451,,Technician Appointment,"Cattle Dog, Australian Mix"
11,6/1/2022,17:20:00,104,2,22483,27969,,Preventative Care Exam,LABRADOR RETRIEVER
L4,6/1/2022,17:20:00,104,1,11253,19071,,Lab Work,"Shepherd, Australian Mix"
TK,6/1/2022,17:20:00,104,1,3475,8605,,Technician Appointment,Retriever Mixed
L4,6/1/2022,17:30:00,105,1,L3530,L3530-4,,Technician Appointment,LABRADOR RETRIEVER
11,6/1/2022,17:40:00,106,2,18766,27148,11,Preventative Care Exam,COCKER SPANIEL
16,6/1/2022,17:40:00,106,2,18628,18628-1,,Senior Exam,"Pointer, German Shorthaired"
L4,6/1/2022,17:40:00,106,2,13497,22955,,Recheck,LABRADOR RETRIEVER
11,6/1/2022,18:00:00,108,2,2733,4340,,Sick,"Bulldog, English"
L4,6/1/2022,18:00:00,108,1,1887,22954,,Recheck,LABRADOR RETRIEVER
L4,6/1/2022,18:10:00,109,1,5418,5418-1,,Emergency,Domestic Shorthair
11,6/1/2022,18:20:00,110,2,4308,7903,,Sick,Husky Mix
TK,6/1/2022,18:30:00,111,1,2639,27149,,Technician Appointment,"Cattle Dog, Australian Mix"
11,6/1/2022,18:40:00,112,2,5284,8186,,Senior Exam,Chihuahua
L4,6/1/2022,18:40:00,112,1,9680,15914,,Technician Appointment,"Terrier, Yorkshire Mix"
L4,6/1/2022,18:50:00,113,2,11732,19890,,Sick,Shih Tzu Mix
11,6/1/2022,19:00:00,114,2,6691,10293,,Sick,"Goldendoodle, mini"
L4,6/1/2022,19:10:00,115,2,10859,28220,,Preventative Care Exam,"Retriever, Golden"
11,6/1/2022,19:20:00,116,2,14183,23432,,Preventative Care Exam,GOLDEN RETRIEVER
16,6/2/2022,7:30:00,45,1,15147,27561,,Dental,Domestic Shorthair
16,6/2/2022,7:30:00,45,2,22265,27458,,Surgery,"Goldendoodle, mini"
16,6/2/2022,7:30:00,45,1,20473,20473-1,,Drop off - Admit,Maltese
16,6/2/2022,7:40:00,46,2,8009,14139,,Dental,Domestic Longhair
19,6/2/2022,7:40:00,46,1,10387,17371,,Technician Appointment,"Goldendoodle, mini"
16,6/2/2022,7:50:00,47,1,14144,23410,,Surgery,BORDER COLLIE
19,6/2/2022,7:50:00,47,1,2692,4270,,Drop off - Admit,Domestic Shorthair
16,6/2/2022,8:00:00,48,1,7816,26604,,Surgery,PUG
16,6/2/2022,8:10:00,49,1,22656,28432,,Short Procedure,Ragdoll Mix
16,6/2/2022,8:20:00,50,1,15147,27561,,Dental,Domestic Shorthair
16,6/2/2022,8:30:00,51,2,11293,11293-2,,Senior Exam,Dachshund Mix
16,6/2/2022,8:30:00,51,1,8009,14139,,Dental,Domestic Longhair
4,6/2/2022,8:30:00,51,2,22248,27425,,New Client,Maltese Mix
6,6/2/2022,8:30:00,51,2,13160,24153,,Preventative Care Exam,Collie Mix
L12,6/2/2022,8:30:00,51,2,L1731,L1731-4,,Senior Exam,Domestic Shorthair
16,6/2/2022,8:50:00,53,2,1749,28633,,New Pet,Exotic
4,6/2/2022,8:50:00,53,2,22248,27424,,New Client,Maltese Mix
6,6/2/2022,8:50:00,53,1,5404,28634,,Sick,Shih Tzu
L12,6/2/2022,8:50:00,53,2,L1731,L1731-7,,Senior Exam,Domestic Shorthair
6,6/2/2022,9:00:00,54,1,21113,21113-1,,Emergency,Domestic Shorthair
TK,6/2/2022,9:00:00,54,2,14675,24938,,Laser,"Terrier, Silky"
16,6/2/2022,9:10:00,55,2,5188,14477,,Recheck,"Goldendoodle, mini"
4,6/2/2022,9:10:00,55,2,8762,8762-2,,Sick,Bichon Frise
6,6/2/2022,9:10:00,55,2,11527,19540,,Sick,Pitbull Mix
L12,6/2/2022,9:10:00,55,2,L7939,L7559,,Recheck,Cavapoo
4,6/2/2022,9:30:00,57,2,20668,26002,4,Preventative Care Exam,Retriever Mixed
6,6/2/2022,9:30:00,57,2,17667,28538,,New Pet,BOSTON TERRIER
L12,6/2/2022,9:30:00,57,1,13165,28108,,Technician Appointment,Mixed
